,seq,x,y,orient_x,orient_y,orient_z,orient_w,linear_x,linear_y,angular_z
208,208.0,-3.7011508253592913,10.073501899631747,0.0,,,,1.6862349814442144,-0.08360468439330797,-0.014277404853556728
209,209.0,-3.6632359943866577,10.08579633565059,0.0,,,,1.6639311185215484,-0.07885707051832812,-0.0019530382716311729
210,210.0,-3.585074399445742,10.074736055941294,0.0,,,,1.611957762794153,-0.07712314659939057,0.03512558259831912
211,211.0,-3.5691009925048287,10.072404329186366,0.0,,,,1.612864052581409,-0.07776848475829594,0.03512558259831912
212,212.0,-3.6185113224865364,9.966726732089068,0.0,,,,1.5987648517628275,-0.08113382103693112,0.031912460893507084
213,213.0,-3.5661576217384856,9.956170770294898,0.0,,,,1.5743724577298226,-0.07810108947933257,0.04373178859037747
214,214.0,-3.509203413376351,9.944871044102003,0.0,,,,1.5543223969934743,-0.07537381693547116,0.0409832588355349
215,215.0,-3.5069107263033206,10.118311920489997,0.0,,,,1.5512914773030129,-0.06273903455092378,0.04091080968211642
216,216.0,-3.4941537460840104,10.24106131592256,0.0,,,,1.5989474324699147,-0.050355132619951094,0.04530012347976212
217,217.0,-3.4406378689551684,10.240437395436512,0.0,,,,1.5675599494501111,-0.048906318673372404,0.033026284332777656
218,218.0,-3.2531978702157596,10.096003379615082,0.0,,,,1.5817093813867356,-0.06307890895115331,0.03326963365375753
219,219.0,-3.0671497231575273,9.980669484456604,0.0,,,,1.5631760098027216,-0.06587349579466296,0.06870933093646889
220,220.0,-2.9200834217591374,10.127267429616216,0.0,,,,1.5112171839450963,-0.05270146928044334,0.06095394088749996
221,221.0,-2.9049821391259436,10.126461794243232,0.0,,,,1.5114814497291635,-0.053149325974298854,0.06095394088749996
222,222.0,-2.8375716302600664,10.123287369043634,0.0,,,,1.5895607701755112,-0.05076492745720881,0.07877843158105337
223,223.0,-2.7184782353100445,10.108192296830477,0.0,,,,1.670087979915693,-0.05182729342823165,0.07017996723384108
224,224.0,-2.7017829848620867,10.10739719617232,0.0,,,,1.6711257939680852,-0.05225642419979104,0.07017996723384108
225,225.0,-2.684911734696221,10.107242496503352,0.0,,,,1.6840388433175524,-0.049061338915293025,0.0712791525362505
226,226.0,-2.5798902191526185,9.981212547483086,0.0,,,,1.688411480536033,-0.05632865601894896,0.053210346912542957
227,227.0,-2.5630965325443404,9.979329296601037,0.0,,,,1.6894859819172672,-0.05676636784513908,0.053210346912542957
228,228.0,-2.503532971993339,9.973228823657603,0.0,,,,1.6180800726114049,-0.053141915507636917,0.09189450559635885
229,229.0,-2.48495919236497,10.203390178567124,0.0,,,,1.536216622436958,-0.033550379916115966,0.08598655959080369
230,230.0,-2.412460152049138,10.205261071554478,0.0,,,,1.5876021361346866,-0.032400703600319054,0.12555911971024347
